,valeur_fonciere
2285,218000
2286,415000
2287,1700000
2288,600000
2289,940000
2290,965000
2291,315420
2292,120000
2293,1690000
2294,166200
2295,470000
2296,470000
2297,900000
2298,242000
2299,286000
2300,1262000
2301,655200
2302,175000
2303,1050800
2304,395000
2305,1040000
2306,500000
2307,188000
2308,232450
2309,280000
2310,400000
2311,730000
2312,623850
2313,306050
2314,774700
2315,193000
2316,190000
2317,390000
2318,394000
2319,198000
2320,780000
2321,350000
2322,1100000
2323,250000
2324,350000
2325,363000
2326,215000
2327,220000
2328,335100
2329,600000
2330,245000
2331,4300000
2332,530000
2333,578950
2334,691000
2335,204100
2336,180000
2337,386895
2338,160000
2339,571429
2340,1297600
2341,585000
2342,550000
2343,190000
2344,263890
2345,120000
2346,324000
2347,680000
2348,400000
2349,325000
2350,180000
2351,452000
2352,735000
2353,3165340
2354,727190
2355,400000
2356,1600000
2357,723620
2358,176500
2359,302000
2360,1440000
2361,950600
2362,4917100
2363,145000
2364,573100
2365,499000
2366,377000
2367,1200000
2368,1100000
2369,310000
2370,400000
2371,690000
2372,282700
2373,375000
2374,251700
2375,356350
2376,350000
2377,320000
2378,1120000
2379,2853200
2380,504400
2381,441603
2382,3230000
2383,259000
2384,1058560
2385,657740
2386,426460
2387,306750
2388,1660000
2389,220000
2390,135000
2391,505000
2392,810000
2393,211700
2394,689600
2395,1500000
2396,509850
2397,349057
2398,359200
2399,740000
2400,519000
2401,478400
2402,640000
2403,3410000
2404,580000
2405,370000
2406,800000
2407,1946000
2408,208250
2409,1150555
2410,399880
2411,885000
2412,400000
2413,257580
2414,285000
2415,1950000
2416,330000
2417,285965
2418,950000
2419,1292550
2420,741700
